,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
1503,D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler
1504,Age of Adaline,2015,California @ Montgomery,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
1505,Sense8 - Season 2,2016,Washington between Stockton and Kearny,,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
1506,Sudden Fear,1952,2800 Scott Street,,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame
1507,American Graffiti,1973,"Mel's Drive-In (Corner of Van Ness & Mission Street, Mission District)",This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat
1508,The Game,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII.",David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
1509,The Last Black Man in San Francisco,2019,California St and Gough btwn Geary and Jones,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
1510,Nash Bridges,2021,"Pier 45, San Francisco",,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1511,The OA Part II,2019,Ada Court at O'Farrell St,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
1512,"Looking ""Special""",2016,1246 Folsom Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1513,The Phone/Jexi,2019,Liberty St btwn Castro and Noe St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1514,Terminator - Genisys,2015,California at Larkin,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
1515,"Murder in the First, Season 3",2016,600 Octavia Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1516,Ant-Man and the Wasp,2018,Bush St at Mason St,VFX Plate Shots,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1517,Dirty Harry,1971,Portsmouth Square (Chinatown),In 1847 the first public school in California was erected on what would become Portsmouth Square.,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
1518,40 Days and 40 Nights,2002,Café Trieste (609 Vallejo),"Francis Ford Coppola allegedly wrote large portions of ""The Godfather"" trilogy in Café Trieste.",Michael Lehmann,Robert Perez,Josh Hartnett,Shaynnyn Sossamon,
1519,Harold and Maude,1971,Sutro Baths (Point Lobos Avenue),,Hal Ashby,Colin Higgins,Ruth Gordon,Bud Cort,
1520,Time After Time,1979,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
1521,Quitters,2015,Claire Lilienthal Elementary School,,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows
1522,Quitters,2015,1536 Noe St.,,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows
1523,The Dead Pool,1988,550 El Camino Del Mar (Seacliff),,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1524,The Princess Diaries,2001,2601 Lyon Street,,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,
1525,"Murder in the First, Season 1",2014,Ida B. Wells High School (1099 Hayes Street),"Ida B. Wells High School is named after the African-American journalist, suffragist and early leader in the Civil Rights Movement Ida B. Wells",Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1526,Junior,1994,722 Steiner Street,,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
1527,The Woman In Red,1984,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Gene Wilder,Jean Loup Dabadie & Yves Robert,Gene Wilder,Charles Grodin,
1528,The Bachelor,1999,Pacific Stock Exchange (301 Pine Street at Sansome),,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,
1529,Final Analysis,1992,Bix Restaurant (56 Gold Street),,Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
1530,Women is Losers,2020,2712 Bryant St,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
1531,Rent,2005,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Chris Columbus,Stephen Chbosky,Anthony Rapp,Rosario Dawson,
1532,The Last Black Man in San Francisco,2019,Illinois St btwn Marin and Amador,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
1533,"Smile Again, Jenny Lee",2015,Europa Café (4318 California St. and 5th Ave.),,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
1534,Sense8,2015,Market St. overpass,Bicycle chase scene,The Wachowskis,The Wachowskis,Jamie Clayton,,
1535,Tucker: The Man and His Dream,1988,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Francis Ford Coppola,Arnold Schulman,Jeff Bridges,Joan Allen,Marin Landau
1536,Dirty Harry,1971,"Kezar Stadium, Golden Gate Park",The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake.,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
1537,Nash Bridges,2021,2800 Pacific Avenue,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1538,Terminator - Genisys,2015,Pier 14,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
1539,The Phone/Jexi,2019,Tamarind Hall - 1268 Grant Ave,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1540,Tales of the City,2019,Mission District,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
1541,Nine to Five,1980,Albert S. Samuels Clock (856 Market Street between Powell and Stockton),,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,Dolly Parton
1542,Shit and Champagne,2020,Leavenworth at Greenwich St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
1543,Ant-Man,2015,Intersection of California at Polk,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
1544,Pacific Heights,1990,Texas & 19th Streets (Potrero Hill),,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,
1545,Interview With The Vampire,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise
1546,Bitter Melon,2018,3189 16th St,,H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera
1547,Chance Season 2,2017,Lombard St between Hyde and Larkin St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1548,Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,,Matt Reeves,Rick Jaffa,Gary Oldman,Keri Russell,Andy Serkis
1549,Hulk,2003,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Ang Lee,Stan Lee,Eric Bana,Jennifer Connelly,
1550,Venom,2018,Grant Ave btwn Washington and Jackson,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1551,Surface,2022,Jackson Street between Stockton and Grant,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1552,Sudden Impact,1983,The Embarcadero/Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle
1553,Looking Season 2 ep 204,2015,970 Geary Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1554,Etruscan Smile,2017,3rd Street between Market & Harrison,,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1555,Summertime,2015,Buena Vista East & Duboce; Buena Vista East & Haight,,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
1556,Always Be My Maybe,2019,Pier 7,,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
1557,San Andreas,2015,Hyde St. at Greenwich and Hyde St. at Lombard,"Characters walk to get a vantage point for Coit tower. 250 actors walking ""fleeing"" the city after earthquake",Brad Peyton,Allan Loeb,Dwayne Johnson,,
1558,Birth of the Dragon,2016,Pier 45 - Jeremiah O'Brien Liberty Ship,The SS Jeremiah O'Brien is a rare survivor of the invasion at Normandy on D-Day in WWII.,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
1559,The Rock,1996,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Michael Bay,David Weisberg,Sean Connery,Nicolas Cage,
1560,Sense8,2015,18th Street between Guerrero and Valencia Streets,"Re-enactment of ""Dyke's on Bikes"" and ""Dyke March""",The Wachowskis,The Wachowskis,Jamie Clayton,,
1561,So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
1562,Blue Jasmine,2013,Taylor & Green St.,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1563,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",,John Huston,John Huston,Humphrey Bogart,Mary Astor,Gladys George
1564,Surface,2022,Merchant Road Trail at Presidio,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1565,Chance- Season 1 ep106,2016,2 Rowland,,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
1566,Chance - Season 1 Pilot,2016,UN Plaza/ Civic Center Bart steps,,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
1567,Goliath- Season 4,2021,Grant and Commercial,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
1568,Groove,2000,435 23rd Street at Illinois,,Greg Harrison,Greg Harrison,Chris Ferreira,Elizabeth Sun,
1569,Chance Season 2,2017,Duboce between Buena Vista East and Alpine St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1570,The Last Black Man in San Francisco,2019,900 Innes Ave,Boat dock,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
1571,Heart Beat,1980,Washington Square Bar & Grill (1707 Powell),,John Byrum,John Byrum,Nick Nolte,Sissy Spacek,John Heard
1572,Shit and Champagne,2020,La Ferrera Terrace at Kearny St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
1573,DEVS,2020,Harrison at 25th St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1574,"Smile Again, Jenny Lee",2015,333 Pacheco St at Lopez Ave.,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa
1575,Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)","The original Castro Theatre was built in 1910, a few doors down from the current theatre. The original theatre was converted into retail space, and the current theatre was built in the 1920s.",Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,
1576,Looking Season 2 ep 207,2015,770 Haight Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1577,Chance Season 2,2017,Scott St between Jackson and Clay St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1578,Nash Bridges,2021,Alameda Street between Vermont and San Bruno,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1579,Flubber,1997,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Les Mayfield,Samuel W. Taylor,Robin Williams,Marcia Gay Harden,
1580,The Phone/Jexi,2019,Texas at 17th St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1581,"Murder in the First, Season 1",2014,AT&T Park,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1582,A Taiwanese Tale of Two Cities,2018,Steiner St at Fulton St,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
1583,Nine Months,1995,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
1584,Sense8,2015,"Atlas Café, 3049 20th St.",Dialogue scene inside the café,The Wachowskis,The Wachowskis,Jamie Clayton,,
1585,Bullitt,1968,2700 Vallejo Street (Pacific Heights),,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
1586,Summertime,2015,Turk St between Lyon and Baker St,,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
1587,Chance - Season 1 Pilot,2016,Washington Square Park,,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
1588,Copycat,1995,82 & 67 Rico Way (Marina District),,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
1589,Clickbait,2021,Jackson between Front and Davis,,"Brad Anderson, Emma Freeman, Cherie Nowlan, Ben Young","Tony Ayres, Christian White",Zoe Kavan,Betty Gabriel,Adrian Grenier
1590,Sense8 - Season 2,2016,67-69 Deming St.,,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
1591,The Matrix Resurrections,2021,Pine between Front and Montgomery,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
1592,Age of Adaline,2015,Pier 50- end of the pier,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
1593,Ballers Season 3,2017,"Huntington Park (California & Taylor Streets, Nob Hill)",,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
1594,God is a Communist?* (show me heart universe),2010,Sacramento & Washington Streets,,Jon Poznanter,Jon Poznanter,John Wynn,,
1595,Tales of the City,2019,Market and Noe St,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
1596,Dirty Harry,1971,Hall of Justice (850 Bryant Street),,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
1597,Chance- Season 1 ep110,2016,18 Urbano,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
1598,Ballers Season 3,2017,Embarcadero around Rincon Park,,Julian Farino,Stephen Levinson,Dwayne Johnson,John David Washington,Omar Benson Miller
1599,Bedazzled,2000,1155 Filbert Street at Hyde,,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,
1600,It Came From Beneath the Sea,1955,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Robert Gordon,George Worthing Yates,Kenneth Tobey,Faith Domergue,Donald Curtis
1601,GirlBoss,2017,"Mission Thrift, 2330 Mission St.",,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
1602,Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
1603,Cardinal X,2015,812 22nd St. and Tennessee,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode
1604,Looking,2014,Folsom Street Fair on Folsom St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1605,Looking Season 2 ep 206,2015,770 Haight Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1606,Dim Sum: A Little Bit of Heart,1985,San Francisco International Airport,SFO has a museum dedicated to aviation history.,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong
1607,Venom,2018,Embarcadero at Harrison St,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1608,The Phone/Jexi,2019,135 Mississippi St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1609,Looking,2014,Valencia St. from 16th to 17th,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1610,The OA Part II,2019,Cameron House - 920 Sacramento St,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
1611,Surface,2022,Powell Street at Geary,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1612,Time After Time,1979,Lombard & Broderick Streets (Marina District),,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
1613,The Dead Pool,1988,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1614,Golden Gate,1994,University of California Hastings College of the Law,,Howard Deutch,David Henry Hwang,Matt Dillon,Joan Chen,
1615,Chance- Season 1 ep102,2016,"Sutter Stockton Garage, 444 Stockton",,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee
1616,Copycat,1995,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
1617,Women is Losers,2020,26 Edna St,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
1618,Steve Jobs,2015,California St. from Jones St. to Mason St.,,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen
1619,Nine Months,1995,Star's Café (55 Golden Gate Avenue at Van Ness),,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
1620,Bullitt,1968,Kennedy Hotel (226 Embarcadero at Howard Street),Hotel was destroyed in the 1989 Loma Prieta earthquake. Corporate headquarters for the Gap reside at the location today.,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
1621,Surface,2022,Jackson Street between Ross and Wentworh,,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Martín Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor
1622,Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Phil Joanou,Robert Berger,Richard Gere,Kim Basinger,
1623,I Remember Mama,1948,The Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",George Stevens,DeWitt Bodeen,Irene Dunne,Barbara Bel Geddes,Oskar Homolka
1624,Hemingway & Gelhorn,2011,Muni Metro East (501 Cesar Chavez),,Philip Kaufman,Jerry Stahl & Barbara Turner,Nicole Kidman,Clive Owen,
1625,Milk,2008,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,
1626,Sense8,2015,"Dolores Park, 20th St. between Church & Dolores St.","group of friends have a heated argument, then flashback of pre-argument",The Wachowskis,The Wachowskis,Jamie Clayton,,
1627,Looking,2014,Jawbone at 99 Rhode Island St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1628,When We Rise,2017,Castro St. between 17th and 18th St.,,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
1629,Goliath- Season 4,2021,Mountain Spring Avenue at Glenbrook Avenue,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
1630,The Pursuit of Happyness,2006,Glide Memorial Church (434 Ellis St),,Steven Conrad,Gabriele Muccino,Will Smith,Jayden C. Smith,
1631,Chance- Season 1 ep109,2016,850 Bryant- 6th floor County Jail,The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
1632,Super Pumped: The Battle for Uber,2022,Alameda St. between Vermont St. & San Bruno Ave.,,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
1633,The Towering Inferno,1974,2898 Vallejo Street,,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden
1634,Common Threads: Stories From the Quilt,1989,The Castro,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,
1635,Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers
1636,DEVS,2020,Corona Heights - 16th at Flint St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1637,The Net,1995,Moscone Convention Center,,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,
1638,Venom: Let There Be Carnage,2021,Sutter Stockton Garage,,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson
1639,Terminator - Genisys,2015,Embarcadero between Pier 2 and Harrison,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
1640,Ant-Man and the Wasp,2018,Saint Louis Alley at Jackson,,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1641,The Presidio,1988,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan
1642,Ant-Man,2015,Intersection of Broadway at Kearney,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
1643,"Murder in the First, Season 3",2016,Howard Street at Steuart Street,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1644,Cardinal X,2015,3639 Taraval St,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode
1645,"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1646,The Matrix Resurrections,2021,California at Grant Ave,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
1647,The Right Stuff,1983,Cow Palace,"Supposedly, the Cow Palace's name derives from a newspaper editorial in which the writer wonders whether the soon-to-be-built structure for livestock was a ""palace for cows"".",Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris
1648,So I Married an Axe Murderer,1993,305 Hugo Street,,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
1649,Red Widow,2013,California & Davis St,,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.
1650,Venom,2018,Larkin St btwn Post and Geary,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1651,Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,
1652,Etruscan Smile,2017,Treasure Island,,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
