,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
77,The Doctor,1991,,,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,
78,Sudden Impact,1983,Mt. Davidson,Mt. Davidson is highest point in San Francisco (938 feet).,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle
79,DEVS,2020,18th btwn Connecticut and Arkansas St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
80,San Andreas,2015,Clay St. at Taylor,3 characters walk down the street. An earthquake shakes the city and stuff starts breaking. One character gets a shard of glass stuck in his leg.,Brad Peyton,Allan Loeb,Dwayne Johnson,,
81,Blindspotting (Season 2),2023,"Coqueta at Pier 7, San Francisco",,"Rafael Casal, Jess Wu Calder,","Brittany Miller, Benjamin Earl Turner, Rafael Casal & Daveed Diggs, Sarah LaBrie, Obehi Janice, Sanjay Shah, Nyesha Littlejohn & Susan Park",Jasmine Cephas Jones,Jaylen Barron,Rafael Casal
82,Tales of the City,2019,Market and Church St,,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett
83,Burglar,1987,California Academy of Sciences (Golden Gate Park),"Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States.",Hugh Wilson,Joseph Loeb III,Whoopi Goldberg,Bobcat Goldwait,
84,Looking,2014,Fort Funston,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
85,Take the Money and Run,1969,Bank of America (1455 Stockton Street),,Woody Allen,Woody Allen,Woody Allen,Janet Margolin,
86,San Andreas,2015,Pier 43,Bystanders watch as a tsunami crashes over them,Brad Peyton,Allan Loeb,Dwayne Johnson,,
87,Heart and Souls,1993,Stockton Tunnel (Stockton Street at Sutter Street),"Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area.",Tomas Gislason,Tomas Gislason,Jorgen Leth,,
88,Looking Season 2 ep 209,2015,"Mission Arts Center, 2450 Harrison Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
89,Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson
90,Dr. Dolittle 2,2001,"Broadway, Between Franklin & Laguna Streets",,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,
91,Goliath- Season 4,2021,Crissy Field Beach,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
92,Looking,2014,Mission Arts Center,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
93,GirlBoss,2017,Filbert and Kearny Steps,,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
94,Chance- Season 1 ep107,2016,"Punjab Café, 838 24th St.",,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
95,Doctor Dolittle,1998,Gabbiano's Restaurant (Ferry Building),"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,
96,Bedazzled,2000,Montgomery & Market Streets,,Harold Ramis,Harold Ramis,Brendan Fraser,Elizabeth Hurley,
97,Summertime,2015,Chinatown (Stockton @ Jackson & Jackson toward Grant,,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
98,Women is Losers,2020,119 Vernon St,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
99,Freebie and the Bean,1974,Alco Plaza,,Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
100,Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
101,Americana,2015,679 Madrid St,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
102,"Budding Prospects, Pilot",2017,951 Hudson Avenue,,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore
103,Chef Dynasty: House of Fang,2022,"Asian Art Museum (200 Larkin Street, Civic Center)",,,,Lillian Phan,Long Vo,Christy-Anne Lopez
104,"Looking ""Special""",2016,Castro Street between 17th & 18th,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
105,The Phone/Jexi,2019,16th St at Sanchez,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
106,When We Rise,2017,426 Castro St.,,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams
107,Looking,2014,Eros,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
108,Chance- Season 1 ep106,2016,60 Leavenworth St.,,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
109,Chance- Season 1 ep109,2016,60 Leavenworth St.,,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee
110,Invasion of the Body Snatchers,1978,1227 Montgomery Street (Telegraph Hill),,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
